382	394.68	67	1.75	5.89	221.14	23.83%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=80 	ADX_EmaFast=6 	ADX_EmaSlow=12 	FixedLots=0.08 	MaxPyramiding=4 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
349	373.54	64	1.74	5.84	204.79	22.07%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=80 	ADX_EmaFast=5 	ADX_EmaSlow=11 	FixedLots=0.08 	MaxPyramiding=6 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
223	373.53	66	1.71	5.66	225.78	24.33%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=80 	ADX_EmaFast=7 	ADX_EmaSlow=9 	FixedLots=0.08 	MaxPyramiding=6 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
201	373.48	60	1.81	6.22	162.67	17.53%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=60 	ADX_EmaFast=5 	ADX_EmaSlow=12 	FixedLots=0.08 	MaxPyramiding=7 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
132	352.56	63	1.70	5.60	204.81	22.07%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=80 	ADX_EmaFast=6 	ADX_EmaSlow=9 	FixedLots=0.08 	MaxPyramiding=6 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
338	352.49	65	1.67	5.42	204.79	22.07%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=80 	ADX_EmaFast=4 	ADX_EmaSlow=12 	FixedLots=0.08 	MaxPyramiding=8 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
15	331.59	64	1.63	5.18	204.91	22.08%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=80 	ADX_EmaFast=5 	ADX_EmaSlow=9 	FixedLots=0.08 	MaxPyramiding=6 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
149	327.46	62	1.64	5.28	105.95	13.05%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=30 	ADX_EmaFast=7 	ADX_EmaSlow=12 	FixedLots=0.08 	MaxPyramiding=8 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
319	326.87	66	1.71	4.95	197.59	21.97%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=75 	ADX_EmaFast=8 	ADX_EmaSlow=10 	FixedLots=0.07 	MaxPyramiding=5 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
336	308.37	63	1.70	4.89	170.28	18.93%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=65 	ADX_EmaFast=5 	ADX_EmaSlow=10 	FixedLots=0.07 	MaxPyramiding=4 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
233	308.34	65	1.67	4.74	197.60	21.97%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=75 	ADX_EmaFast=7 	ADX_EmaSlow=10 	FixedLots=0.07 	MaxPyramiding=4 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
21	307.88	62	1.61	4.97	144.76	16.39%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=50 	ADX_EmaFast=6 	ADX_EmaSlow=12 	FixedLots=0.08 	MaxPyramiding=7 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
41	278.15	42	1.34	6.62	229.80	27.42%	0.00000000	BB_Period=28 	BB_StDev=1.5 	ADX_Lookback=30 	ADX_EmaFast=7 	ADX_EmaSlow=12 	FixedLots=0.08 	MaxPyramiding=7 	PipDistance=70	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
167	245.92	60	1.32	4.10	196.77	20.61%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=30 	ADX_EmaFast=7 	ADX_EmaSlow=12 	FixedLots=0.08 	MaxPyramiding=7 	PipDistance=50	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
360	240.72	63	1.40	3.82	116.26	13.16%	0.00000000	BB_Period=20 	BB_StDev=1.5 	ADX_Lookback=30 	ADX_EmaFast=7 	ADX_EmaSlow=12 	FixedLots=0.08 	MaxPyramiding=4 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
258	233.46	68	1.68	3.43	161.03	19.11%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=75 	ADX_EmaFast=7 	ADX_EmaSlow=11 	FixedLots=0.05 	MaxPyramiding=6 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
181	233.46	70	1.66	3.34	164.54	19.53%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=80 	ADX_EmaFast=6 	ADX_EmaSlow=11 	FixedLots=0.05 	MaxPyramiding=6 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
81	232.44	64	1.48	3.63	160.88	18.70%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=50 	ADX_EmaFast=9 	ADX_EmaSlow=10 	FixedLots=0.07 	MaxPyramiding=4 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
241	232.36	64	1.48	3.63	160.75	18.69%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=50 	ADX_EmaFast=9 	ADX_EmaSlow=10 	FixedLots=0.07 	MaxPyramiding=5 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
28	223.31	53	1.28	4.21	211.01	23.39%	0.00000000	BB_Period=24 	BB_StDev=1.5 	ADX_Lookback=35 	ADX_EmaFast=9 	ADX_EmaSlow=12 	FixedLots=0.07 	MaxPyramiding=10 	PipDistance=65	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
177	222.58	55	1.27	4.05	200.40	21.50%	0.00000000	BB_Period=24 	BB_StDev=1.5 	ADX_Lookback=30 	ADX_EmaFast=6 	ADX_EmaSlow=12 	FixedLots=0.07 	MaxPyramiding=9 	PipDistance=65	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
106	220.40	67	1.64	3.29	161.03	19.11%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=80 	ADX_EmaFast=5 	ADX_EmaSlow=11 	FixedLots=0.05 	MaxPyramiding=6 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
378	220.34	69	1.62	3.19	174.18	20.67%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=80 	ADX_EmaFast=5 	ADX_EmaSlow=12 	FixedLots=0.05 	MaxPyramiding=8 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
353	220.32	67	1.64	3.29	161.02	19.11%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=75 	ADX_EmaFast=7 	ADX_EmaSlow=10 	FixedLots=0.05 	MaxPyramiding=6 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
391	220.28	69	1.62	3.19	174.20	20.68%	0.00000000	BB_Period=22 	BB_StDev=1.5 	ADX_Lookback=80 	ADX_EmaFast=5 	ADX_EmaSlow=12 	FixedLots=0.05 	MaxPyramiding=6 	PipDistance=40	TimeFrame=30 	UseRiskManagement=0 	RiskPercent=1 	MaxSpreadPips=3 	Slippage=3 	UseTrailingStop=0 	TrailingStopPoints=50
